DateTime,AddedIPs,RemovedIPs
1472576972,1,0
1472584202,0,1
1472602252,11,0
1472605835,1,0
1472612928,1,8
1472616808,0,2
1472620220,1,0
1472623755,1,1
1472627339,0,1
1472634622,0,1
1472638152,1,1
1472648988,1,1
1472652575,1,0
1472659732,0,1
1472663444,2,1
1472684969,0,1
1472688570,15,0
1472692223,2,0
1472695935,0,1
1472699348,1,17
1472703098,1,0
1472713764,1,1
1472717365,1,0
1472724579,0,1
1472728158,1,1
1472735452,1,1
1472738989,1,0
1472742561,0,2
1472749899,0,1
1472753380,1,1
1472756955,2,0
1472764182,0,1
1472767859,0,1
1472771362,1,1
1472775133,21,0
1472778584,1,0
1472782432,0,1
1472785800,1,21
1472800149,0,1
1472814564,0,2
1472818179,1,0
1472821778,1,0
1472832565,0,1
1472836157,1,0
1472864954,19,0
1472872147,0,2
1472875782,0,12
1472882961,0,1
1472886530,1,0
1472900926,0,1
1472904565,1,0
1472911784,0,1
1472929779,1,0
1472936974,1,0
1472944163,1,1
1472947810,16,1
1472951399,0,1
1472955015,2,0
1472958628,0,17
1472983733,0,1
1472998208,1,0
1473001759,0,1
1473005365,1,0
1473016165,0,1
1473019745,1,0
1473034149,0,1
1473037734,19,0
1473048576,0,22
1473062970,1,0
1473077370,0,1
1473080954,1,0
1473116976,0,1
1473120547,1,0
1473124171,15,0
1473127796,1,0
1473134986,0,17
1473142144,0,1
1473145752,1,1
1473149353,1,0
1473167348,0,1
1473181793,2,0
1473192562,0,1
1473196208,1,0
1473207017,28,1
1473210574,2,0
1473217743,0,19
1473221408,0,1
1473264516,1,0
1473275373,0,1
1473293441,22,0
1473296962,1,0
1473304153,0,20
1473307770,0,1
1473311428,2,0
1473322172,0,2
1473379797,17,0
1473387211,0,1
1473390549,0,14
1473404978,1,0
1473466185,25,0
1473469817,1,0
1473473508,1,0
1473476969,0,30
1473484189,0,1
1473552617,29,0
1473563362,0,21
1473639001,16,1
1473642618,1,0
1473646272,1,0
1473649763,0,20
1473653402,0,1
1473664156,0,3
1473674967,1,0
1473689355,1,1
1473696579,1,0
1473707355,0,1
1473710935,0,1
1473718282,1,0
1473725501,20,0
1473732603,1,1
1473736154,0,26
1473750540,1,0
1473757750,0,1
1473764968,1,0
1473768544,0,1
1473782959,0,1
1473797353,2,0
1473811805,26,1
1473815351,2,0
1473822550,1,30
1473829753,0,2
1473833350,0,1
1473880173,1,0
1473887377,0,2
1473894591,0,1
1473898184,21,0
1473908980,0,14
1473941353,1,0
1473955756,0,1
1473984649,20,0
1473995352,0,19
1473998990,0,1
1474006169,0,1
1474009795,1,0
1474027828,0,1
1474071009,22,0
1474078183,0,1
1474081750,0,22
1474085367,0,3
1474106959,0,1
1474117757,1,0
1474135773,1,0
1474146567,0,1
1474150232,1,1
1474157393,15,0
1474160978,1,0
1474168135,0,20
1474175376,0,1
1474200556,1,0
1474214964,0,1
1474243843,20,0
1474247361,2,0
1474251008,1,0
1474254632,1,18
1474261774,0,2
1474265361,0,1
1474268970,0,1
1474283349,1,0
1474310540,1,1
1474314257,1,0
1474320091,0,1
1474324375,0,1
1474332528,29,0
1474341701,0,20
1474346192,0,2
1474349243,0,1
1474352922,1,0
1474359854,1,0
1474363513,0,1
1474380664,1,0
1474394994,0,1
1474416610,16,0
1474420142,1,0
1474427797,0,16
1474431980,0,2
1474436000,0,1
1474471877,3,0
1474482851,0,2
1474503013,16,0
1474510415,1,0
1474515987,0,21
1474518090,1,0
1474532892,0,7
1474550500,1,0
1474565486,0,1
1474585876,1,0
1474589423,25,0
1474592982,1,0
1474601172,0,28
1474604659,0,1
1474607919,0,2
1474636922,0,1
1474661539,1,0
1474676183,17,0
1474687293,0,14
1474690348,0,7
1474712110,1,0
1474722972,0,1
1474731077,0,1
1474758670,1,0
1474762808,16,0
1474765805,2,0
1474773327,0,10
1474776776,0,2
1474780519,1,0
1474816950,0,2
1474827321,0,1
1474838035,1,0
1474849526,13,0
1474859763,0,20
1474863899,0,1
1474893016,2,0
1474906775,0,1
1474932315,0,1
1474935921,17,0
1474946694,0,14
1474964463,2,0
1474979031,0,2
1474989908,1,0
1475005090,0,1
1475021834,22,0
1475026090,1,0
1475032559,0,13
1475036383,0,1
1475039948,0,1
1475043458,1,0
1475057345,0,2
1475068147,1,0
1475071738,1,0
1475086137,0,1
1475096941,1,0
1475100549,0,1
1475104159,1,0
1475107808,11,0
1475115084,1,0
1475119764,0,14
1475126545,0,1
1475150946,1,0
1475166263,0,1
1475195499,18,0
1475198037,2,0
1475201990,1,0
1475205022,1,19
1475208848,1,1
1475212399,0,1
1475215776,0,1
1475219507,1,1
1475222937,2,1
1475226545,2,0
1475236281,1,0
1475239870,1,4
1475243473,1,4
1475247072,0,1
1475253768,3,1
1475255739,1,0
1475259017,1,1
1475267001,1,0
1475270270,0,1
1475274234,1,0
1475277068,0,1
1475281412,20,0
1475284834,0,1
1475288224,1,0
1475291416,1,20
1475294995,1,0
1475298876,1,2
1475302780,0,1
1475306476,1,1
1475311921,1,0
1475319124,1,1
1475322714,0,2
1475326313,1,1
1475328164,2,1
1475336032,1,1
1475338770,1,0
1475342754,0,1
1475345795,0,1
1475353036,1,0
1475360017,1,1
1475363511,0,1
1475367579,32,0
1475374454,1,0
1475378012,1,11
1475381455,1,1
1475385878,1,0
1475399646,1,0
1475403785,0,2
1475411006,0,2
1475414334,1,0
1475418271,0,1
1475421351,1,0
1475424730,1,0
1475431874,1,1
1475435490,0,1
1475439204,1,0
1475442920,0,1
1475446268,1,0
1475450121,1,0
1475454229,14,1
1475457298,0,1
1475460918,0,1
1475464257,1,19
1475471588,1,0
1475478663,0,1
1475482201,0,1
1475490140,1,0
1475503764,0,1
1475514534,1,0
1475536861,1,0
1475540873,14,0
1475544634,1,0
1475550749,0,21
1475554404,1,0
1475557738,1,1
1475564965,1,1
1475571077,1,0
1475574673,0,1
1475578276,0,1
1475581878,0,1
1475587922,3,0
1475590191,1,0
1475594105,0,1
1475602021,0,2
1475604739,1,0
1475629736,28,0
1475636928,0,1
1475640538,1,30
1475654942,0,1
1475658537,2,0
1475669329,0,2
1475690932,0,1
1475694532,1,0
1475708940,0,1
1475716136,23,0
1475719734,2,0
1475726925,0,16
1475730539,0,1
1475734128,1,1
1475737735,1,0
1475744934,0,1
1475752132,1,0
1475755731,2,1
1475762936,0,1
1475766538,0,3
1475770141,1,1
1475780940,1,0
1475802522,27,0
1475806146,2,0
1475809744,0,1
1475813333,0,14
1475816928,0,1
1475824138,0,2
1475831338,2,0
1475834931,2,0
1475842124,0,2
1475845729,6,2
1475856537,0,6
1475867335,2,0
1475874535,2,0
1475885329,0,2
1475888933,15,0
1475896145,0,1
1475899740,0,25
1475906931,1,0
1475924936,0,1
1475928528,0,2
1475932145,2,0
1475950143,1,2
1475960955,0,1
1475968122,1,1
1475971730,1,0
1475975336,22,0
1475978926,2,0
1475982508,0,1
1475986127,0,25
1475989732,2,0
